,prompt_tr,completion_tr
0,Müşteri: Altın hesaba geçmek için yardımdan feragat ediyorum,hesabı değiştir
1,Müşteri: Bir ürünü satın almak için ne yapmalıyım?,yer sırası
2,Müşteri: Bir şey satın aldım satın almayı iptal et 370795561790,Siparişi iptal et
3,Müşteri: Bana müşteri yardımını hangi saatlerde çağırabileceğimi gösterebilir misiniz?,müşteri hizmetleri ile iletişime geçin
4,Müşteri: Premium hesabı kullanabilir miyim?,hesabı değiştir
5,Müşteri: 370795561790 satın alma bir şey değiştirme yardımcı,sırayı değiştir
6,Müşteri: Dublin'e shpi yapıyor musunuz?,teslimat seçenekleri
7,Müşteri: parseli ne kadar sürede bekleyebileceğimi görmek için yardım,teslim süresi
8,Müşteri: Teslimatımı ne kadar sürede bekleyebileceğimi nasıl kontrol edebilirim?,teslim süresi
9,"Müşteri: İzin verilen ödeme seçeneklerini kontrol etmem gerekiyor, nasıl yapılır?",ödeme yöntemlerini kontrol edin
10,Müşteri: 732201349959 satın almanın ETA'sını nasıl görebilirim?,parça sırası
11,Müşteri: Hangi teslimat yöntemlerini sunduğunuzu bana gösterebilir misiniz?,teslimat seçenekleri
12,Müşteri: Kullanıcıyı sil,hesabı sil
13,Müşteri: Hangi nakliye seçeneklerini seçebileceğimi kontrol etmeye çalışıyorum,teslimat seçenekleri
14,"Müşteri: Ürününüzün birkaçını satın almak istiyorum, nasıl yapabilirim?",yer sırası
15,Müşteri: Lanet olası bir sorunu ödemeyle çözmeme yardım eder misin?,ödeme sorunu
16,Müşteri: Platin hesabındaki bilgileri güncellemek,Hesabı düzenle
17,Müşteri: satın alma bir şey değiştirmek için yardım 1135422617735602,sırayı değiştir
18,Müşteri: Hesabımın şifresini nasıl alabilirim bilmiyorum,Parolayı kurtar
19,Müşteri: kurumsal haber bülteni aboneliği hakkında daha fazla bilgi edinin,bülten aboneliği
20,Müşteri: Canlı bir ajanla konuşmak için yardıma ihtiyacım var,İnsan Ajanı ile iletişime geçin
21,Müşteri: Ürünümün ne kadar sürede geldiğini görmeme yardımcı olun,teslim süresi
22,Müşteri: Bülteninize aboneliğimi iptal etmeme yardımcı olabilir misiniz?,bülten aboneliği
23,Müşteri: Bir insan ajanla nasıl sohbet edilir,İnsan Ajanı ile iletişime geçin
24,Müşteri: Yeni teslimat adresimi ayarlayan hatalar var,nakliye adresi kurmak
25,Müşteri: Kaydolma ile ilgili bir sorunu bildirmek için heop'a ihtiyacım var,Kayıt sorunları
26,Müşteri: Profesyonel hesaba geçiş için yardım istiyorum,hesabı değiştir
27,Müşteri: ur ürününün bir kısmını satın almaya yardımcı olun,yer sırası
28,Müşteri: Erken sonlandırma cezasını görmek için ne yapmalıyım,İptal ücretini kontrol et
29,Müşteri: Faturayı almak istiyorum #001008 Bunu nasıl yaparım,faturayı kontrol et
30,Müşteri: Liverpool'dan sipariş mi veriyorum?,teslimat seçenekleri
31,Müşteri: Müşteri hizmetleri ile nasıl konuşulur,müşteri hizmetleri ile iletişime geçin
32,Müşteri: Müşteri hizmetleri ile konuşmak için yardıma ihtiyacım var,müşteri hizmetleri ile iletişime geçin
33,Müşteri: Müşteri desteğinin hangi saatlerde mevcut olduğunu nasıl kontrol edebilirim?,müşteri hizmetleri ile iletişime geçin
34,Müşteri: Ürünümün ne zaman geleceğini kontrol etmek istiyorum,teslim süresi
35,Müşteri: Kurumsal haber bülteni aboneliğini iptal etmeye çalışıyorum,bülten aboneliği
36,Müşteri: premium hesaptaki ayrıntıları değiştirin,Hesabı düzenle
37,Müşteri: Ücretsiz hesabı silmek için ne yapmam gerektiğini bilmiyorum,hesabı sil
38,Müşteri: Online ödeme ile ilgili bir hatayı bildirmek için ne yapmalıyım?,ödeme sorunu
39,Müşteri: Ürününüzün birkaçını satın almaya yardımcı olur,yer sırası
40,Müşteri: Bir hizmet için geri bildirimimi göndermek için yardım istiyorum,incele
41,Müşteri: sipariş bir öğe değiştirmek istiyorum 1135422617735902 ohw yapmak için,sırayı değiştir
42,Müşteri: Şirket bülteninizi almak hakkında daha fazla bilgi edinmek istiyorum,bülten aboneliği
