,prompt,completion
0,"Please categorise the customer intent from the conversation below:

###

Customer: i waant help to change to the gold account
The intention is as follows:", switch account END
1,"Please categorise the customer intent from the conversation below: 

###

Customer: what do I need to do to shop a  product?
The intention is as follows:", place order END
2,"Please categorise the customer intent from the conversation below: 

###

Customer: i bought something cancel purchase 370795561790
The intention is as follows:", cancel order END
3,"Please categorise the customer intent from the conversation below: 

###

Customer: can you show me what hours I can call customer assistance?
The intention is as follows:", contact customer service END
4,"Please categorise the customer intent from the conversation below: 

###

Customer: can I use the Premium account?
The intention is as follows:", switch account END
5,"Please categorise the customer intent from the conversation below: 

###

Customer: help switching something of purchase 370795561790
The intention is as follows:", change order END
6,"Please categorise the customer intent from the conversation below: 

###

Customer: do you shpi to Dublin?
The intention is as follows:", delivery options END
7,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance seeing how soon can i expect the parcel
The intention is as follows:", delivery period END
8,"Please categorise the customer intent from the conversation below: 

###

Customer: how can i check how soon can i expect my deliver
The intention is as follows:", delivery period END
9,"Please categorise the customer intent from the conversation below: 

###

Customer: I have to check the allowed payment options, how to do it?
The intention is as follows:", check payment methods END
10,"Please categorise the customer intent from the conversation below: 

###

Customer: how to see the ETA of the purchase 732201349959?
The intention is as follows:", track order END
11,"Please categorise the customer intent from the conversation below: 

###

Customer: can you show me what delivery methods you offer?
The intention is as follows:", delivery options END
12,"Please categorise the customer intent from the conversation below: 

###

Customer: delete user
The intention is as follows:", delete account END
13,"Please categorise the customer intent from the conversation below: 

###

Customer: I try to check what shipping options I can choose
The intention is as follows:", delivery options END
14,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to buy several of your product, how can I do it?
The intention is as follows:", place order END
15,"Please categorise the customer intent from the conversation below: 

###

Customer: could you help me solve a damn issue with payment?
The intention is as follows:", payment issue END
16,"Please categorise the customer intent from the conversation below: 

###

Customer: updating information on Platinum account
The intention is as follows:", edit account END
17,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance to switch something of purchase 113542617735902
The intention is as follows:", change order END
18,"Please categorise the customer intent from the conversation below: 

###

Customer: i do not know how i can retrieve the password of my account
The intention is as follows:", recover password END
19,"Please categorise the customer intent from the conversation below: 

###

Customer: tell me more about the corporate newsletter subscription
The intention is as follows:", newsletter subscription END
20,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance talking to a live agent
The intention is as follows:", contact human agent END
21,"Please categorise the customer intent from the conversation below: 

###

Customer: help me seeing how long it takes for my product to arrive
The intention is as follows:", delivery period END
22,"Please categorise the customer intent from the conversation below: 

###

Customer: can you help me cancel my subscription to your newsletter?
The intention is as follows:", newsletter subscription END
23,"Please categorise the customer intent from the conversation below: 

###

Customer: how to chat with a human agent
The intention is as follows:", contact human agent END
24,"Please categorise the customer intent from the conversation below: 

###

Customer: there are errors setting up my new delivery address
The intention is as follows:", set up shipping address END
25,"Please categorise the customer intent from the conversation below: 

###

Customer: i need heop to notify of an issue with sign-up
The intention is as follows:", registration problems END
26,"Please categorise the customer intent from the conversation below: 

###

Customer: i want assistance switchimg to the pro account
The intention is as follows:", switch account END
27,"Please categorise the customer intent from the conversation below: 

###

Customer: help purchasing some of ur product
The intention is as follows:", place order END
28,"Please categorise the customer intent from the conversation below: 

###

Customer: what do i have to do to see the early termination penalty
The intention is as follows:", check cancellation fee END
29,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna ifnd the bill #00108 how do i do it
The intention is as follows:", check invoice END
30,"Please categorise the customer intent from the conversation below: 

###

Customer: acn I order from Liverpool?
The intention is as follows:", delivery options END
31,"Please categorise the customer intent from the conversation below: 

###

Customer: how to talk to customer servce
The intention is as follows:", contact customer service END
32,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance speaking to customer service
The intention is as follows:", contact customer service END
33,"Please categorise the customer intent from the conversation below: 

###

Customer: how can i check what hours customer assistance available is
The intention is as follows:", contact customer service END
34,"Please categorise the customer intent from the conversation below: 

###

Customer: I would like to check when my product is going to arrive
The intention is as follows:", delivery period END
35,"Please categorise the customer intent from the conversation below: 

###

Customer: i try to cancel the corporate newsletter subscreiption
The intention is as follows:", newsletter subscription END
36,"Please categorise the customer intent from the conversation below: 

###

Customer: change details on premium account
The intention is as follows:", edit account END
37,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what I have to do to edlete the free account
The intention is as follows:", delete account END
38,"Please categorise the customer intent from the conversation below: 

###

Customer: what do i have to do to report an error with online payment
The intention is as follows:", payment issue END
39,"Please categorise the customer intent from the conversation below: 

###

Customer: awnt help to shop several of your product
The intention is as follows:", place order END
40,"Please categorise the customer intent from the conversation below: 

###

Customer: i want assistance to submit my feedback for a service
The intention is as follows:", review END
41,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna switch an item of order 113542617735902 ohw to do it
The intention is as follows:", change order END
42,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to know more about receiving your company newsletter
The intention is as follows:", newsletter subscription END
43,"Please categorise the customer intent from the conversation below: 

###

Customer: open Premium acconut for bride
The intention is as follows:", create account END
44,"Please categorise the customer intent from the conversation below: 

###

Customer: check invoice from Mr. Jones
The intention is as follows:", check invoice END
45,"Please categorise the customer intent from the conversation below: 

###

Customer: create freemium account
The intention is as follows:", create account END
46,"Please categorise the customer intent from the conversation below: 

###

Customer: edit info on gold account
The intention is as follows:", edit account END
47,"Please categorise the customer intent from the conversation below: 

###

Customer: help writing a comment for your services
The intention is as follows:", review END
48,"Please categorise the customer intent from the conversation below: 

###

Customer: I have to see how soon can I expect my parcel , I need help
The intention is as follows:", delivery period END
49,"Please categorise the customer intent from the conversation below: 

###

Customer: I need information about modifying my delivery address
The intention is as follows:", change shipping address END
50,"Please categorise the customer intent from the conversation below: 

###

Customer: there is a trouble trying to correct the address
The intention is as follows:", change shipping address END
51,"Please categorise the customer intent from the conversation below: 

###

Customer: what do I have to do to write a review about a product?
The intention is as follows:", review END
52,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance notifying of a trouble with oline payment
The intention is as follows:", payment issue END
53,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what to do to delete the freemium accouunt
The intention is as follows:", delete account END
54,"Please categorise the customer intent from the conversation below: 

###

Customer: I want help obtaining a reimbursement
The intention is as follows:", get refund END
55,"Please categorise the customer intent from the conversation below: 

###

Customer: where to request compensations of money
The intention is as follows:", get refund END
56,"Please categorise the customer intent from the conversation below: 

###

Customer: I need infomration about the termination of a Gold account
The intention is as follows:", delete account END
57,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance to check the early termination penalties
The intention is as follows:", check cancellation fee END
58,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what I have to do to order a product
The intention is as follows:", place order END
59,"Please categorise the customer intent from the conversation below: 

###

Customer: set new shipping address up
The intention is as follows:", set up shipping address END
60,"Please categorise the customer intent from the conversation below: 

###

Customer: i expect a rebate of $1200
The intention is as follows:", track refund END
61,"Please categorise the customer intent from the conversation below: 

###

Customer: problem with modifying order 00004587345
The intention is as follows:", change order END
62,"Please categorise the customer intent from the conversation below: 

###

Customer: I try to set up the shipping address
The intention is as follows:", set up shipping address END
63,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to see your money back policy, could you help me?
The intention is as follows:", check refund policy END
64,"Please categorise the customer intent from the conversation below: 

###

Customer: what are the early termination charges?
The intention is as follows:", check cancellation fee END
65,"Please categorise the customer intent from the conversation below: 

###

Customer: i try to talk to an agent
The intention is as follows:", contact human agent END
66,"Please categorise the customer intent from the conversation below: 

###

Customer: editing information on platinum account
The intention is as follows:", edit account END
67,"Please categorise the customer intent from the conversation below: 

###

Customer: i have to file a consumer complaint against ur company
The intention is as follows:", complaint END
68,"Please categorise the customer intent from the conversation below: 

###

Customer: where can i receive the corporate newsletter
The intention is as follows:", newsletter subscription END
69,"Please categorise the customer intent from the conversation below: 

###

Customer: need assistance to remove a product from roder 00123842
The intention is as follows:", change order END
70,"Please categorise the customer intent from the conversation below: 

###

Customer: opening new pro account for wife
The intention is as follows:", create account END
71,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to change several products of order 00004587345
The intention is as follows:", change order END
72,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I can see how soon can I expect my product
The intention is as follows:", delivery period END
73,"Please categorise the customer intent from the conversation below: 

###

Customer: i have to delete a product from purchase 732201349959
The intention is as follows:", change order END
