,Unnamed: 0,prompt,completion
0,0,Customer: i waant help to change to the gold account, switch account
1,1,Customer: what do I need to do to shop a  product?, place order
2,2,Customer: i bought something cancel purchase 370795561790, cancel order
3,3,Customer: can you show me what hours I can call customer assistance?, contact customer service
4,4,Customer: can I use the Premium account?, switch account
5,5,Customer: help switching something of purchase 370795561790, change order
6,6,Customer: do you shpi to Dublin?, delivery options
7,7,Customer: assistance seeing how soon can i expect the parcel, delivery period
8,8,Customer: how can i check how soon can i expect my deliver, delivery period
9,9,"Customer: I have to check the allowed payment options, how to do it?", check payment methods
10,10,Customer: how to see the ETA of the purchase 732201349959?, track order
11,11,Customer: can you show me what delivery methods you offer?, delivery options
12,12,Customer: delete user, delete account
13,13,Customer: I try to check what shipping options I can choose, delivery options
14,14,"Customer: I want to buy several of your product, how can I do it?", place order
15,15,Customer: could you help me solve a damn issue with payment?, payment issue
16,16,Customer: updating information on Platinum account, edit account
17,17,Customer: assistance to switch something of purchase 113542617735902, change order
18,18,Customer: i do not know how i can retrieve the password of my account, recover password
19,19,Customer: tell me more about the corporate newsletter subscription, newsletter subscription
20,20,Customer: I need assistance talking to a live agent, contact human agent
21,21,Customer: help me seeing how long it takes for my product to arrive, delivery period
22,22,Customer: can you help me cancel my subscription to your newsletter?, newsletter subscription
23,23,Customer: how to chat with a human agent, contact human agent
24,24,Customer: there are errors setting up my new delivery address, set up shipping address
25,25,Customer: i need heop to notify of an issue with sign-up, registration problems
26,26,Customer: i want assistance switchimg to the pro account, switch account
27,27,Customer: help purchasing some of ur product, place order
28,28,Customer: what do i have to do to see the early termination penalty, check cancellation fee
29,29,Customer: wanna ifnd the bill #00108 how do i do it, check invoice
30,30,Customer: acn I order from Liverpool?, delivery options
31,31,Customer: how to talk to customer servce, contact customer service
32,32,Customer: I need assistance speaking to customer service, contact customer service
33,33,Customer: how can i check what hours customer assistance available is, contact customer service
34,34,Customer: I would like to check when my product is going to arrive, delivery period
35,35,Customer: i try to cancel the corporate newsletter subscreiption, newsletter subscription
36,36,Customer: change details on premium account, edit account
37,37,Customer: I do not know what I have to do to edlete the free account, delete account
38,38,Customer: what do i have to do to report an error with online payment, payment issue
39,39,Customer: awnt help to shop several of your product, place order
40,40,Customer: i want assistance to submit my feedback for a service, review
41,41,Customer: wanna switch an item of order 113542617735902 ohw to do it, change order
42,42,Customer: I want to know more about receiving your company newsletter, newsletter subscription
43,43,Customer: open Premium acconut for bride, create account
44,44,Customer: check invoice from Mr. Jones, check invoice
45,45,Customer: create freemium account, create account
46,46,Customer: edit info on gold account, edit account
47,47,Customer: help writing a comment for your services, review
48,48,"Customer: I have to see how soon can I expect my parcel , I need help", delivery period
49,49,Customer: I need information about modifying my delivery address, change shipping address
50,50,Customer: there is a trouble trying to correct the address, change shipping address
51,51,Customer: what do I have to do to write a review about a product?, review
52,52,Customer: I need assistance notifying of a trouble with oline payment, payment issue
53,53,Customer: I do not know what to do to delete the freemium accouunt, delete account
54,54,Customer: I want help obtaining a reimbursement, get refund
55,55,Customer: where to request compensations of money, get refund
56,56,Customer: I need infomration about the termination of a Gold account, delete account
57,57,Customer: I need assistance to check the early termination penalties, check cancellation fee
58,58,Customer: I do not know what I have to do to order a product, place order
59,59,Customer: set new shipping address up, set up shipping address
60,60,Customer: i expect a rebate of $1200, track refund
61,61,Customer: problem with modifying order 00004587345, change order
62,62,Customer: I try to set up the shipping address, set up shipping address
63,63,"Customer: I want to see your money back policy, could you help me?", check refund policy
64,64,Customer: what are the early termination charges?, check cancellation fee
65,65,Customer: i try to talk to an agent, contact human agent
66,66,Customer: editing information on platinum account, edit account
67,67,Customer: i have to file a consumer complaint against ur company, complaint
68,68,Customer: where can i receive the corporate newsletter, newsletter subscription
69,69,Customer: need assistance to remove a product from roder 00123842, change order
70,70,Customer: opening new pro account for wife, create account
71,71,Customer: I want to change several products of order 00004587345, change order
72,72,Customer: I don't know how I can see how soon can I expect my product, delivery period
73,73,Customer: i have to delete a product from purchase 732201349959, change order
74,74,Customer: I do not know what I have to do to cancel the gold account, delete account
75,75,Customer: I'm waiting for a restitution of $1200, track refund
76,76,Customer: wanna use the free account, switch account
77,77,Customer: I can no longer afford order 113542617735902, cancel order
78,78,Customer: i dont understand ya i want help talkiing with someone, contact human agent
79,79,Customer: where do i buy some of ur item, place order
80,80,Customer: order cancelation, cancel order
81,81,Customer: i want assistnce shopping an item, place order
82,82,Customer: I don't know what to do to acquire a few of your item, place order
83,83,Customer: delete standard account, delete account
84,84,Customer: how to see my bill #12588, check invoice
85,85,Customer: I don't know how I can check the early termination charges, check cancellation fee
86,86,Customer: i dont know what i have to do to modify my address, change shipping address
87,87,Customer: shipments to Seattle, delivery options
88,88,Customer: where ispurchase 113542617735902?, track order
89,89,Customer: I expect a erbate of 1499 dollars, track refund
