,id,label,label_text,text,lang
0,1,alarm_set,alarm_set,beni cuma günü sabah dokuzda uyandır,tr
1,2,alarm_set,alarm_set,iki saat sonrasına alarm kur,tr
2,4,audio_volume_mute,audio_volume_mute,olly sessiz ol,tr
3,5,audio_volume_mute,audio_volume_mute,dur,tr
4,6,audio_volume_mute,audio_volume_mute,olly on saniye duraklat,tr
5,7,audio_volume_mute,audio_volume_mute,on saniye duraklat,tr
6,9,iot_hue_lightchange,iot_hue_lightchange,burada ışıklandırmayı az daha sıcak yap,tr
7,10,iot_hue_lightchange,iot_hue_lightchange,lütfen aydınlatmayı okumaya uygun ayarla,tr
8,12,iot_hue_lightoff,iot_hue_lightoff,yatma vakti,tr
9,13,iot_hue_lightoff,iot_hue_lightoff,uyku zamanı olly,tr
10,15,iot_hue_lightoff,iot_hue_lightoff,banyodaki ışığı kapat,tr
11,16,iot_hue_lightdim,iot_hue_lightdim,olly holdeki ışığı kıs,tr
12,18,iot_hue_lightoff,iot_hue_lightoff,yatak odasındaki ışıkları kapat,tr
13,20,iot_hue_lightchange,iot_hue_lightchange,ışıkları yüzde yirmi aç,tr
14,21,iot_hue_lightchange,iot_hue_lightchange,olly ışıkları yüzde yirmiye ayarla,tr
15,22,iot_hue_lightdim,iot_hue_lightdim,olly mutfaktaki ışıkları kıs,tr
16,23,iot_hue_lightdim,iot_hue_lightdim,mutfaktaki ışıkları kıs,tr
17,25,iot_cleaning,iot_cleaning,olly daireyi temizle,tr
18,28,iot_cleaning,iot_cleaning,evi süpür,tr
19,29,iot_cleaning,iot_cleaning,olly evi süpür,tr
20,32,iot_cleaning,iot_cleaning,halılar ı iyice süpür,tr
21,33,calendar_query,calendar_query,kar ne zaman başlayacak bir kontrol et,tr
22,34,play_music,play_music,yine yeniden tarkan şarkısı dinlemek istiyorum,tr
23,35,play_music,play_music,o müziği bir kez daha çalmak istiyorum,tr
24,36,general_quirky,general_quirky,arabamın hazır olup olmadığını kontrol et,tr
25,37,general_quirky,general_quirky,laptopumun çalışıp çalışmadığını kontrol et,tr
26,38,general_quirky,general_quirky,benim ekran parlaklığım az mı çalışıyor,tr
27,39,general_quirky,general_quirky,konum servisinin açık olmasına ihtiyacım var kontrol edebilir misin,tr
28,40,general_quirky,general_quirky,güç kullanımı durumumu kontrol et,tr
29,43,general_quirky,general_quirky,yorgun değilim mutluyum aslında,tr
30,44,general_quirky,general_quirky,olly aslında mutluyum yorgun değilim,tr
31,45,general_greet,general_greet,naber,tr
32,48,datetime_query,datetime_query,bana moskova'da saatin kaç olduğunu söyle,tr
33,49,datetime_convert,datetime_convert,bana greenwich yerel saati artı beşteki saati söyle,tr
34,51,takeaway_query,takeaway_query,olly çin yemeği için en yüksek yıldızlı teslimat opsiyonlarını listele,tr
35,52,takeaway_query,takeaway_query,çin yemeği için en yüksek yıldızlı adrese teslimat opsiyonlar,tr
36,54,takeaway_query,takeaway_query,olly çin yemeği için en yüksek puanlı teslimat opsiyonları,tr
37,55,takeaway_query,takeaway_query,paket servis köri istiyorum tavsiyen var mı,tr
38,56,takeaway_query,takeaway_query,köri almak istiyorum herhangi bir öneri olly,tr
39,57,takeaway_query,takeaway_query,benim migros tan pizza paket siparişimi bul,tr
40,60,alarm_remove,alarm_remove,sabah yedi alarmını durdur,tr
41,62,alarm_query,alarm_query,lütfen aktif alarmları listele,tr
42,65,news_query,news_query,bugün futbolda neler oluyor,tr
43,66,play_music,play_music,lütfen beatlesdan yesterday oynat,tr
44,69,music_likeness,music_likeness,rock müziği seviyorum,tr
45,70,music_likeness,music_likeness,favori müzik grubum mfö,tr
46,72,play_music,play_music,favorilerden müzik çalmaya başla,tr
47,73,play_music,play_music,lütfen benim en iyi müziğimi çal,tr
48,75,music_query,music_query,şu anki müziğin yazarı kim,tr
49,76,music_query,music_query,şu anki müzik hangi albümden,tr
50,77,music_likeness,music_likeness,olly bu şarkıyı cidden çok seviyorum,tr
